fish,species,lifespan,size,diet,conservation_status,ua_adaptations,ua_explanation,speed,reproduction,migration_patterns,schooling_behavior,habitat_range,predator,prey,venomous_poisonous,fact1,fact2,fact3,source,fact_source,image
Whale Shark,Rhincodon typus,80,"26,000 pounds (11,800 kilograms), 18 to 32 feet (5.5 to 9.8 meters)"," small fishes (sardines, anchovies, mackerel, juvenile tunas and albacore), small crustaceans and squids",Endangered (EN),"Large Mouth, Specialized Gill Bars, CheckerBoard Camouflage Skin ","The whale shark’s massive mouth, positioned almost terminally, allows efficient filter-feeding. It has specialized sieve-like gill bars that trap plankton while expelling water. Its distinct checkerboard pattern provides camouflage in oceanic light patterns.",5 km/h (3 mph),Ovoviviparous: giving birth to over 300 live pups,"Highly migratory, traveling between ocean basins and returning to specific sites annually", Found alone or in aggregations of over 100 individuals," Circumglobal, tropical and warm temperate oceans, usually 0-100m depth",Large Sharks and Orcas,Small Nektonic Organisms,None," Largest Fish in the Sea – Whale sharks are the biggest fish in the ocean, growing up to 40 feet long and weighing as much as 20.6 tons.","Gentle Giants – Despite their massive size, whale sharks are filter feeders, meaning they consume by swimming with their mouths open to eat.","Unique Spot Patterns – Each whale shark has a distinct pattern of spots on its body, similar to human fingerprints, which helps researchers identify and track individuals.
",fishbase.us,factsmostly.com,/fish/Whale_Shark.png
Great White Shark,Carcharodon carcharias,70,"1,500 to 4,000 lbs(680 to 1,800 kg), 11-16 feet (3.4-4.9 meters)","Carnivorous; primarily marine mammals (seals, sea lions), fish, and other sharks",Vulnerable (VE),"Countershading coloration, Ampullae of Lorenzini, Serrated, replaceable teeth, Regional endothermy. ","The great white shark’s countershading, with a dark dorsal side and white ventral side, provides camouflage from both prey and predators. Its ampullae of Lorenzini detect faint electrical signals, aiding in locating hidden prey. Serrated, replaceable teeth allow efficient tearing of flesh, while regional endothermy enables sustained activity in colder waters.",25 km/h (16 mph),"Ovoviviparous: giving birth to 2 to 14 live pups after a gestation period of 12 to 18 months, with embryos practicing intrauterine cannibalism.","Highly migratory, traveling across entire ocean basins and returning to specific feeding and breeding sites annually.","Found alone or in small, loosely structured aggregations, often gathering seasonally in areas with high prey abundance. ","Circumglobal, temperate and subtropical oceans, typically found at depths of 0-1,200m, with frequent activity in coastal and offshore waters.",Large sharks and orcas and Humans ,"fish, rays, and smaller sharks, while adults target marine mammals such as seals, sea lions, and dolphins. ",None ,"Late Maturity: Male great white sharks reach sexual maturity around 26 years of age, while females mature around 33 years, indicating their slow growth and late reproductive age. ","Cartilaginous Skeletons: Like all sharks, great whites lack bones; instead, their skeletons are made of cartilage, making them lighter and more flexible in the water",Extended Lifespan: Great white sharks can live 70+ years making them one of the longest-lived cartilaginous fishes.,https://www.fisheries.noaa.gov/species/white-shark,https://www.factsmostly.com/,/fish/Great_White_Shark.png
Blue Whale,Balaenoptera musculus,80-90,"330,000 lbs(149,685 kg), 72-105 ft(22-32 meters)","Primarily Krill, Fish, Copepods",Endangered (EN),"Baleen plates, loud vocalizations, expandable throat pleats","Blue whales use baleen plates to filter krill, expandable throat pleats to engulf large water volumes, and powerful vocalizations for long-distance communication up to 1,000 miles.",35 km/h (22mph),"Gestation: 10-12 months, calving every 2-3 years","Seasonal migration between polar feeding grounds and equatorial breeding areas, though some populations remain resident year-round.","Found alone or in pairs, sometimes in small groups.","Circumglobal,  Found in all oceans except the Arctic, migrating between high-latitude feeding and lower-latitude breeding grounds.", Orcas,"krill, fish, copepods",None,"Largest Animal Ever – Blue whales are the largest animals known to have ever existed, surpassing even the largest dinosaurs. They can reach lengths of up to 100 feet (30 meters) and weigh as much as 200 tons. ","Enormous Heart – A blue whale's heart is massive, weighing approximately 400 pounds. This colossal organ pumps blood through their gigantic bodies","Loudest Animal on Earth – Blue whales are capable of producing vocalizations that reach up to 188 decibels, making them the loudest animals on the planet. These powerful sounds can travel across vast distances in the ocean, facilitating communication between individuals. ​",https://www.fisheries.noaa.gov/species/,https://factanimal.com/blue-whale/,/fish/Blue_Whale.png
Goliath Grouper,Epinephelinae,30-50 ,"800 pounds (363 kilograms), 8 feet (2.4 meters)","Slow-moving fish and crustaceans.(in particular spiny lobsters, shrimps and crabs), fishes (including stingrays and parrotfishes), octopus, and young sea turtles",Vulnerable (VE),"Robust Body Structure, Powerful Suction Feeding, Camouflaged Coloration.","Goliath groupers use powerful suction feeding to engulf prey, robust body structure to exert dominance in reef habitats, and camouflaged mottled skin to blend with surroundings for ambush hunting.",Slow-moving (data not well documented) ,"Spawning Season: Summer months, forming aggregations; Maturity: Males at 4–6 years (~115 cm), females at 6–8 years (~125 cm).",Juveniles inhabit mangrove nurseries for 5 to 6 years before migrating to offshore reefs as adults. ,"Generally solitary, but they gather in small groups during spawning seasons."," Found in the western Atlantic Ocean, from Florida, USA, to Brazil, including the Gulf of Mexico and the Caribbean Sea. ","large sharks, barracudas, and moray eels","Crustaceans (lobsters, crabs), slow-moving fish (rays, parrotfish, burrfish), and octopuses",None ,Largest Grouper Species: The Goliath Grouper is the largest grouper species in the Atlantic Ocean.,"Vocal Communicators: They produce distinct sounds to communicate, especially during spawning aggregations.","Protected Species: Due to overfishing, they have been under a harvesting moratorium in U.S. waters since 1990 to aid population recovery.",https://www.fisheries.noaa.gov/species/atlantic-goliath-grouper,https://www.factsmostly.com/,/fish/Goliath_Grouper.png
Manta Ray,Mobula birostris,45," 3,000 lbs (1,400 kg), Wingspan up to 26 feet (8 meters)","Planktonic organisms (euphausiids, copepods, mysids), small fish, and shrimp",Vulnerable (VE),"Cephalic lobes for funneling water into the mouth, large wings , and deep-diving abilities.","Manta Rays have Cephalic lobes that help channel water efficiently into the mouth for feeding. Their large wings provide stability and agility while feeding, especially during somersaults.",24 km/h (15 mph),Ovoviviparous: one pup every 2-3 years,Migratory species travelling between coastal and offshore habitats.,"Primarily solitary, but may aggregate at cleaning sites or during feeding and mating.","Circumglobal; Found in tropical, subtropical, and temperate waters worldwide; typically in oceanic and coastal waters, from shallow waters to depths of over 1,000 meters.",large sharks, zooplankton and small fish,None,"Largest Brain-to-Body Ratio – Manta rays possess the largest brain-to-body ratio of all fish species, indicating high intelligence and complex behaviors.","Unique Spot Patterns – Each manta ray has a distinctive pattern of spots on its belly, much like a human fingerprint, allowing researchers to identify and track individual rays. ","Continuous Swimmers – Manta rays must keep swimming to breathe, as this movement pushes oxygen-rich water over their gills, ensuring they receive the necessary oxygen to survive.",https://www.fisheries.noaa.gov/species/giant-manta-ray,mantarayadvocates.com,/fish/Manta_Ray.png
Humpback Whale,Megaptera novaeangliae,80-90 ​,"40 tons (36,000 kilograms), 60 feet (18 meters)",Krill and small fish,Least Concern (LC),"expandable throat pleats, baleen plates","Humpback whales have expandable throat pleats that allow them to engulf large volumes of water and prey, while their baleen plates filter out food efficiently.",(4.8 to 27 km/h),"Gestation: Approximately 11 months, typically every 2 to 3 years.","highly migratory, traveling up to 16,000 miles (25,000 kilometers) annually between high-latitude feeding grounds in summer and low-latitude breeding grounds in winter.","Generally solitary or found in small, transient groups; however, larger aggregations can form during feeding or breeding seasons. ","They are found in oceans worldwide, from polar to tropical waters, depending on the season",Orcas (killer whales),krill and small schooling fish.,None ,"Acrobatic Displays: Humpback whales are known for their spectacular breaching behavior, where they leap out of the water and splash down, creating a dramatic display.","Individual Identification: Each humpback whale has a unique pattern on the underside of its tail fluke, allowing researchers to identify and track individuals over time.","Cultural Transmission: Humpback whale songs evolve over time and can spread across ocean basins, indicating a form of cultural transmission among populations.",https://www.fisheries.noaa.gov/species/humpback-whale,FactsMostly.com,/fish/Humpback_Whale.png
Atlantic Bluefin Tuna,Thunnus thynnus,20,"1700-2000 lb(771-910 kg), 13 feet(3.9 meters)","Fish, squid, crustaceans, and baitfish such as herring, bluefish, and mackerel.",Unknown,"Large, torpedo-shaped body; reddish-brown dorsal fin; short pectoral fins","Antlantic BlueFin Tuna have torpedo-shaped bodies that aid in swift swimming, and the reddish dorsal fin helps with heat regulation, while short pectoral fins improve maneuverability.",75 km/h (47 mph),Oviparous,"Highly migratory, moving across vast distances between spawning grounds in the Gulf of America and feeding areas in the Atlantic","Bluefin tuna tend to form schools during migration and feeding, though they are also solitary predators","Western Atlantic, from Newfoundland to the Gulf of America, temperate waters, 500-1,000 meters deep","sharks, marine mammals, and large fish","fish, squid, and crustaceans",None,"Impressive Size: Atlantic Bluefin Tuna are among the largest tuna species, with the ability to grow up to 13 feet in length and weigh as much as 2,000 pounds.","Warm-Blooded Adaptation: Unlike most fish, these tuna are warm-blooded, enabling them to regulate their body temperature. This adaptation allows them to thrive in colder waters and aids in their migratory journeys across the Atlantic.","High-Speed Swimmers: Atlantic Bluefin Tuna are known for their speed, capable of reaching impressive swimming velocities. Their streamlined bodies and powerful muscles facilitate swift movement through the water.",fishbase.us,https://www.fisheries.noaa.gov/feature-story/fun-facts-about-atlantic-tunas,/fish/Atlantic_Bluefin_Tuna.png
Giant Trevally,Caranx ignobilis,20,"33-132 lbs, 10-20 inches ","Smaller reef fish, such as Scaridae (parrotfish) and Labridae (wrasses), crabs and spiny lobsters, squids and octopuses. ",Least Concern (LC),"Streamlined body, strong tail scutes, a steep head profile, and a large eye with a horizontal streak for panoramic vision","Giant Trevally have streamlined, muscular bodies that enable powerful bursts of speed, while their large, forked tails provide strong propulsion, and their silvery coloration helps with camouflage in open water.",60 km/h (37 miles per hour),"Occurs during specific seasons, with timing varying by region; they form large aggregations during spawning events.","Juveniles inhabit shallow coastal areas, estuaries, and lagoons, while adults move to deeper offshore reefs and atolls. ","Juveniles often form schools, but adults are typically solitary, coming together mainly during spawning periods. ","Found throughout the tropical waters of the Indo-Pacific region, from South Africa to Hawaii, including Japan and Australia. ",blacktip reef shark, Scaridae and Labridae ,Accumulate ciguatoxin,"Cultural Significance: In Hawaii, the giant trevally, known locally as ""ulua,"" holds cultural importance and is featured in various songs, chants, and proverbs, often symbolizing strength and bravery.",Cooperative Hunting: Giant trevallies have been observed engaging in cooperative hunting behaviors with Hawaiian monk seals. ​,"Historical Use in Ceremonies: During ancient times in Hawaiʻi, the ulua was used as a sacrifice in religious ceremonies, sometimes replacing humans.",https://sanctuaries.noaa.gov/magazine/5/papahanaumokuakea/,https://alphonsefishingco.com/fly-fishing/species/giant-trevally/facts,/fish/Giant_Trevally.png
Mako Shark (Shortfin),Isurus oxyrinchus,32,"1,115 lbs(505.8 kg ), 12 ft(3.6 meters)","Bony fishes, other sharks, cephalopods, and occasionally larger prey like billfish and small cetaceans",Endangered (EN),"Streamlined body, countercurrent heat exchange, Large, hooked teeth","The shortfin mako's streamlined body and powerful tail make it the fastest shark, reaching speeds over 70 km/h (43 mph). Its countercurrent heat exchange system allows it to maintain higher body temperatures, enhancing muscle performance.",94 km/h (59 mph),"Ovoviviparous, with embryos feeding on yolk sacs and other ova",Exhibits long-distance seasonal migrations; tagging studies show movement between temperate and tropical waters,Typically solitary but may aggregate in feeding areas,"Circumglobal in temperate and tropical seas; found from surface waters to 888 m deep, commonly between 100-150 m",larger sharks,"fish, squid, and sharks",None,"Speed Demons: Mako sharks are renowned as the fastest sharks in the ocean, reaching speeds of up to 60 miles per hour (96 km/h).","Warm-Blooded Predators: Unlike most fish, mako sharks are warm-blooded, allowing them to maintain their body temperature independently. This adaptation enhances their predatory capabilities and overall survival.","Intelligent Hunters: Studies have shown that mako sharks possess one of the largest brain-to-body ratios among sharks, indicating high intelligence. They rely heavily on their keen vision, smell, and hearing to locate prey, rather than electroreception like some other shark species.",fishbase.us,https://animals.net/mako-shark/,/fish/Mako_Shark.png
Tiger Shark,Galeocerdo cuvier,50,"1,780 lbs (807.4 kg),  24.6 ft (7.5 m)","Sharks, rays, bony fish, marine mammals, tortoises, seabirds, sea snakes, squids, crustaceans, detritus, carrion, garbage.",Near Threatened (NT),"Vertical tiger-striped appearance, Large, saw-edged teeth, Nocturnal feeding behavior","The tiger shark's distinctive vertical stripes help it blend into its environment, and its large, coarsely serrated teeth make it an effective hunter of a variety of prey, including tough-skinned species. Its nocturnal feeding behavior allows it to hunt in low light conditions, targeting both active and passive prey",32 km/h (20 mph),Ovoviviparous; up to 80 young per litter,"Highly migratory, occurring in tropical and subtropical seas, moving between continental shelves and oceanic islands.","Generally solitary, but may group around food sources.","Circumglobal, tropical and temperate seas, from 0 to 800 m depth.",larger sharks,"fish, rays, marine mammals",None,"Distinctive Stripes: Young tiger sharks display dark vertical stripes and spots on their bodies, which fade as they mature, leaving behind a dark blue-green or gray coloration on top and a pale underbelly.","Impressive Size: Tiger sharks are among the largest predatory sharks, with females reaching lengths over 16 feet and weighing up to 2,000 pounds.","Varied Diet: Known as the ""garbage can of the sea,"" tiger sharks have a broad diet that includes fish, seals, birds, and even inedible man-made objects.",fishbase.us,https://factanimal.com/tiger-shark/,/fish/Tiger_Shark.png
